Date,New Delhi,Mumbai,Kolkata,Chennai
2024-01-01,,0.4276308503279863,,
2024-01-02,,,0.568690211236465,
2024-01-03,,1.1720246492902506,,
2024-01-04,,,0.8354016112475766,
2024-01-05,,0.40257479514922584,,
2024-01-06,,,1.654116679186527,
2024-01-07,2.238671254399859,0.9085334200595437,,
2024-01-08,,,1.2710925983597885,
2024-01-09,,0.9461956254799089,0.5970499552181746,
2024-01-10,0.8032594560848971,,0.651369090158279,
2024-01-11,0.6770045655092779,0.3564378912411994,1.4065477107230842,
2024-01-12,0.802470530341889,0.21209415575483168,0.32764367129547567,0.7169202693484046
2024-01-13,,0.15907314874243095,0.47662529453627955,
2024-01-14,1.285844684464336,0.14278770903032675,,1.0422644838192103
2024-01-15,,,1.472227829282128,
2024-01-16,1.5857456613065477,0.2131560948048495,,0.45502136517992897
2024-01-17,,,2.384853082671982,0.254129392006951
2024-01-18,1.6689813770149107,0.669396631100789,,
2024-01-19,,,3.164655103174277,
2024-01-20,1.9790122520900337,0.6123064382559572,,
2024-01-21,,,,0.38036956471207894
2024-01-22,1.1337537662887855,0.36361205670516733,0.6965787185329648,
2024-01-23,1.1068907501881016,,0.6487706695729264,
2024-01-24,,,1.826975192524282,
2024-01-25,0.934948332615647,0.16370369636906645,1.4224912374353085,0.6062253852805244
2024-01-26,,0.16299251305772722,0.6528216894248096,
2024-01-27,0.43484605412544775,0.5114397611827307,,0.5597023965095692
2024-01-28,,,2.175510426672064,
2024-01-29,1.4425334675793744,0.5785278912251128,,0.36716260664341177
2024-01-30,,,1.7801555444152624,0.3344675623092413
2024-01-31,,0.4367916459450498,,
2024-02-01,,,,
2024-02-02,1.034224969337098,0.3690735526970867,,
2024-02-03,,,0.8148265777073005,0.5494821165122238
2024-02-04,,0.47303760439244985,0.26434871554036893,
2024-02-05,,,0.6505630365764624,0.4303368758979191
2024-02-06,0.1987295251583512,0.15700648770987696,2.383543150674036,
2024-02-07,0.423653789001506,0.11928734080736103,0.7058474262772664,0.33300726138460385
2024-02-09,0.3055255290420876,0.16692809631730518,,0.4306616020145648
2024-02-12,,,1.492806281016663,
2024-02-13,,0.4612689451791107,,
2024-02-14,,,1.2146873611029114,0.32491434788427315
2024-02-16,,,1.8435040736820285,0.3244654219068663
2024-02-17,0.34477930108142957,0.3714995331308385,0.7597273888946766,
2024-02-18,0.7437953944835398,,1.2616912885829343,0.34644375032589203
2024-02-22,0.4345652099000857,0.18072957227367575,,0.7379146431939222
2024-02-23,,,0.7756578071498842,
2024-02-24,0.6849567596026185,0.14653117157685738,,0.7138259936420961
2024-02-25,,,,0.5363566540728855
2024-02-26,,0.527525382379185,,
2024-02-27,,,0.8759592855843267,
2024-02-28,0.3546469832171864,0.5005194609007304,,
2024-02-29,,,0.7188208759977605,0.32398832226231944
2024-03-01,1.2603788083706764,0.7570933602877197,0.5720000997088058,
2024-03-02,0.812569621891722,,0.6270286942122199,1.5478245409583082
2024-03-03,0.4560517932886461,0.20563346497280344,1.9557342243653542,
2024-03-04,0.23809889920417546,0.036701615726022006,0.5698815514550489,0.44967276731116945
2024-03-06,0.5463204737541012,0.1525852017604937,,1.5064909445755477
2024-03-07,,,,
2024-03-08,0.4199963360256606,0.18773130167167426,,0.32779227918230663
2024-03-09,,,0.3251934899695481,0.4584675174135965
2024-03-10,1.3276385697846742,0.30880936633748524,,
2024-03-11,,,0.402950661400889,0.7080936983192206
2024-03-12,0.5654992384680751,0.2609169556661692,,
2024-03-13,,,1.1752578500964215,0.5594310616610907
2024-03-14,0.4634580131941216,0.25905220963727493,2.131914103886943,
2024-03-15,0.146527110087919,,0.7349202672063833,0.5880031885842048
2024-03-16,0.20688406142099341,0.34751519756151505,1.5323066036530646,
2024-03-17,0.6585262863302455,0.2021538064215375,0.576654309455246,0.5115479241177008
2024-03-18,,0.10839953978546274,1.6278221584162267,
2024-03-19,0.4350950135368197,0.13741420134904034,,0.4296733646806919
2024-03-20,,,,
2024-03-22,,,0.8263212569541085,0.34759570699614545
2024-03-23,0.6654634474595428,0.46937981884400903,,
2024-03-24,,,0.515847394893682,0.5331232133252186
2024-03-25,0.3306315001418764,0.36120425232569764,,
2024-03-26,,,0.6411276472496922,0.2859577099601165
2024-03-27,,,0.6376688192578378,
2024-03-28,0.6426511743107232,,0.5063938437957067,0.3695482279126044
2024-03-29,0.600978662082739,1.0229561964781926,0.8416876424969711,
2024-03-30,0.4173241739532504,0.740799817838126,0.3712293024897311,0.28326815753964485
2024-03-31,,0.3205341676027816,1.014310470712285,
2024-04-01,1.0964212263682322,0.6547021030635924,,0.30240718945200407
2024-04-02,,,0.5383953216479114,
2024-04-03,0.7873871649112729,0.41876510718507576,,0.0831256644108625
2024-04-04,,,0.8233022106015252,
2024-04-06,,,0.7915283558116891,0.32813115212438265
2024-04-07,0.2552766741333397,0.34016886041132616,,
2024-04-08,,,0.7250235750486976,0.2956904845072315
2024-04-09,0.8177967459510505,0.31950275787778554,0.6576516982360081,
2024-04-10,0.282379614710059,,,
2024-04-11,0.35764457256567295,0.3535808021827345,,
2024-04-12,0.7145288341837249,0.19557138127505558,,0.4048304999123347
2024-04-13,,0.017898390741579985,0.5237754836360412,
2024-04-14,1.3414398331070283,0.0918524538647924,,0.4598010132378669
2024-04-15,,,0.776044160371374,
2024-04-16,0.5207680633283592,0.6908844089316798,,0.15899905244503762
2024-04-17,,,0.673523644967777,0.7081936460985405
2024-04-18,0.3863337665779879,0.9195377943422692,,
2024-04-19,,,0.41201382958930377,0.42613616486532463
2024-04-20,0.4453466388278788,0.880033674548899,,
2024-04-21,,,0.4491541164751768,0.38134301014478617
2024-04-22,0.30352514245051215,0.4606669955400491,,
2024-04-23,0.5857715517393025,,0.7704844632498904,0.3080934005615209
2024-04-24,0.16566712438219505,0.4871186180511254,,
2024-04-25,0.22208827989292376,0.3221344055445721,,0.4496915589455226
2024-04-26,,0.38776068853492124,0.5964479616415612,
2024-04-27,0.4425433756043392,0.37726378282957035,,0.23469355824504926
2024-04-28,,,0.614470913478973,
2024-04-29,0.7053223129779326,0.5158113207136371,,0.12288768473005535
2024-04-30,,,0.5710375853445375,0.19150128971953917
2024-05-01,0.3559864250428984,0.21360989493821636,,
2024-05-02,,,0.6557929629914222,0.44702721244721594
2024-05-03,0.6524423320671904,0.2423817214596566,,
2024-05-04,,,1.1044257455256994,1.159158520556889
2024-05-05,0.4198172220602064,0.19924801465771677,0.44090860325636133,
2024-05-06,,,,0.8216235063816665
2024-05-07,0.48026061431810807,0.06684736765707722,0.6471265546020172,
2024-05-08,0.45098884324874955,0.048935877127870696,,
2024-05-09,,0.07481881449641055,1.7641251297540455,
2024-05-10,0.6350187817610158,0.3705307506979828,,0.3736995332750799
2024-05-11,,,1.4625489712153095,
2024-05-12,1.00217654188147,0.8883629317192615,,0.23933559792343767
2024-05-13,,,0.7581198274857726,0.6791473033575506
2024-05-14,0.7476070204833235,0.4827726883566485,,
2024-05-15,,,0.5729619624285602,
2024-05-16,0.6612472481312803,0.632302356912016,,
2024-05-17,,,0.7538115435351391,
2024-05-18,0.446884782689374,0.808419021089251,0.9532637672930969,
2024-05-19,0.2804354629247354,,0.46966435200387735,
2024-05-20,0.18704261417639728,0.5034901688380992,1.0565611485480413,
2024-05-21,0.3338826279117218,0.2974555056337084,,0.9095583616922585
2024-05-22,,0.5607052499293323,0.8010335601334868,
2024-05-23,0.5463679834569768,0.6302394208822479,,1.3648738302889112
2024-05-24,,,0.30722918379343483,
2024-05-25,0.7771340193911677,0.7591017658719484,,
2024-05-26,,,,2.3139004743947518
2024-05-27,0.45332653530855344,,,
2024-05-28,,,2.4170037022590303,0.7613906048998541
2024-05-29,0.3661740987195965,,,
2024-05-30,,,,0.46550006191676296
2024-05-31,0.21294640436028064,0.3283349087618235,,
2024-06-01,0.4515519136604003,,0.8831902289440127,1.215344816000707
2024-06-02,0.18570151998149623,0.327872200927576,1.6398677514818156,
2024-06-03,0.33316509431803876,,,
2024-06-04,,,,
2024-06-05,0.6542996881270053,0.4165963563555634,,0.7461452260266318
2024-06-06,,,1.7706967961140787,
2024-06-07,0.5429835435988842,0.7951000197110252,,
2024-06-08,,,0.9281846678428811,1.7020200901227336
2024-06-09,0.3469876211138366,,,
2024-06-10,,,0.8002068895004053,0.12717166051888656
2024-06-11,0.49849725673495826,,,
2024-06-12,,,2.114143144639331,
2024-06-13,0.30885967921058216,,0.98640020036372,
2024-06-14,0.2694878769446421,,1.0520621783614361,1.4788282618222088
2024-06-15,0.16047250317725587,,1.5908920264015634,
2024-06-16,0.2533506858999959,,,0.5033785253896316
2024-06-17,,,2.8567756856916415,
2024-06-18,0.4301983169672907,,,1.0351147932812295
2024-06-19,,,,
2024-06-20,1.0074038614226684,,,1.0178495671494594
2024-06-21,,,,0.4538573149346682
2024-06-22,1.277253170864699,,,
2024-06-23,,,1.3440636582982668,0.33448811319469246
2024-06-24,1.8753124912778536,,,
2024-06-25,,,0.6134045655529782,
2024-06-26,1.9549637986721462,,,
2024-06-27,,,,
2024-06-28,,,,
2024-06-29,2.0346976955580427,,,1.4957757214152112
2024-06-30,,,,
2024-07-01,2.7166818177690484,,,
2024-07-02,,,,
2024-07-03,,,,0.7423947237149409
2024-07-04,,,,1.5431215757911905
2024-07-05,,,,
2024-07-06,,,,
2024-07-07,,,,
2024-07-08,,,,
